GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
8600000US51455,51455,ZCTA5 51455,1065,77,40625,3256
8600000US51458,51458,ZCTA5 51458,696,54,52500,6003
8600000US51459,51459,ZCTA5 51459,44,18,45000,23539
8600000US51461,51461,ZCTA5 51461,522,59,45595,7818
8600000US51462,51462,ZCTA5 51462,455,54,47750,8081
8600000US51463,51463,ZCTA5 51463,244,42,50000,20407
8600000US51465,51465,ZCTA5 51465,294,40,48636,5244
8600000US51466,51466,ZCTA5 51466,414,54,41250,8448
8600000US51467,51467,ZCTA5 51467,336,48,53500,4866
8600000US51501,51501,ZCTA5 51501,13931,334,39055,2423
8600000US51503,51503,ZCTA5 51503,14174,365,57449,2821
8600000US51510,51510,ZCTA5 51510,1344,130,47333,7461
8600000US51520,51520,ZCTA5 51520,96,31,29605,13173
8600000US51521,51521,ZCTA5 51521,837,51,54688,6193
8600000US51523,51523,ZCTA5 51523,148,33,38214,6776
8600000US51525,51525,ZCTA5 51525,456,61,57500,9631
8600000US51526,51526,ZCTA5 51526,696,99,80400,10509
8600000US51527,51527,ZCTA5 51527,198,43,41563,5771
8600000US51528,51528,ZCTA5 51528,386,60,36518,7806
8600000US51529,51529,ZCTA5 51529,721,66,49712,6210
8600000US51530,51530,ZCTA5 51530,368,64,41875,4711
8600000US51531,51531,ZCTA5 51531,348,41,46538,7771
8600000US51532,51532,ZCTA5 51532,210,42,45109,5023
8600000US51533,51533,ZCTA5 51533,398,67,55714,5050
8600000US51534,51534,ZCTA5 51534,3259,205,68388,8328
8600000US51535,51535,ZCTA5 51535,773,77,48894,5779
8600000US51536,51536,ZCTA5 51536,200,52,71786,25316
8600000US51537,51537,ZCTA5 51537,2811,120,46034,4571
8600000US51540,51540,ZCTA5 51540,231,46,36544,11771
8600000US51541,51541,ZCTA5 51541,148,26,40000,6242
8600000US51542,51542,ZCTA5 51542,421,71,80688,32208
8600000US51543,51543,ZCTA5 51543,161,38,36696,8665
8600000US51544,51544,ZCTA5 51544,364,57,44938,10938
8600000US51545,51545,ZCTA5 51545,200,46,51944,13131
8600000US51546,51546,ZCTA5 51546,1041,97,56823,7143
8600000US51548,51548,ZCTA5 51548,146,34,65300,22074
8600000US51549,51549,ZCTA5 51549,186,40,40714,14141
8600000US51550,51550,ZCTA5 51550,82,30,57500,12846
8600000US51551,51551,ZCTA5 51551,693,77,70913,7217
8600000US51552,51552,ZCTA5 51552,95,30,54922,25662
8600000US51553,51553,ZCTA5 51553,381,57,67083,11513
8600000US51554,51554,ZCTA5 51554,67,39,41635,33268
8600000US51555,51555,ZCTA5 51555,2069,121,60188,6451
8600000US51556,51556,ZCTA5 51556,196,37,48125,12002
8600000US51557,51557,ZCTA5 51557,404,68,71417,8554
8600000US51558,51558,ZCTA5 51558,267,58,49088,11138
8600000US51559,51559,ZCTA5 51559,690,76,66458,12512
